activity,time,lat,long,activity_id
Driving, 1570684418.006, 433172083378538.44, -84108069126390.69, -499
Driving, 1570684428.0170002, 433182664078538.44, -84108069126390.69, -499
Driving, 1570684438.018, 433193750294807.25, -84107408370268.64, -499
Driving, 1570684448.0010002, 433204397694807.3, -84107408370268.64, -499
Driving, 1570684458.002, 433192139768776.25, -84107184199687.56, -499
Driving, 1570684468.014, 433191581339663.6, -84110780221240.48, -499
Driving, 1570684478.015, 433206289739663.56, -84110780221240.48, -499
Driving, 1570684488.0170002, 433208791504240.0, -84108268878760.64, -499
Driving, 1570684498.018, 433228519404239.94, -84108268878760.64, -499
Driving, 1570684508.01, 433231736275692.06, -84088245693196.39, -499
Driving, 1570684518.0010002, 433245933675333.2, -84063992953622.53, -499
Driving, 1570684525.539, 433249676275333.2, -84063992953622.53, -499
Driving, 1570684528.0029998, 433250420829642.2, -84063975491875.8, -499
Driving, 1570684538.004, 433253471529642.1, -84063975491875.8, -499
Driving, 1570684545.859, 433273091611655.4, -84082645931692.58, -499
Driving, 1570684548.016, 433293333011655.4, -84082645931692.58, -499
Driving, 1570684558.008, 433289939700183.7, -84078509284518.14, -499
Driving, 1570684565.595, 433293477200183.7, -84078509284518.14, -499
Driving, 1570684568.0089998, 433294190400183.75, -84078509284518.14, -499
Driving, 1570684578.004, 433296328566741.0, -84074398882024.27, -499
Driving, 1570684588.0110002, 433288787867254.3, -84064213833943.28, -499
Driving, 1570684598.014, 433307980267254.3, -84064213833943.28, -499
Driving, 1570684605.649, 433311159717606.44, -84081002357240.39, -499
Driving, 1570684608.014, 433315554717606.5, -84081002357240.39, -499
Driving, 1570684618.016, 433314584587288.25, -84079809769575.27, -499
Driving, 1570684628.008, 433323196280503.2, -84090944746462.83, -499
Driving, 1570684638.019, 433342133380503.2, -84090944746462.83, -499
Driving, 1570684648.0110002, 433331266789490.8, -84070508174656.03, -499
Walking, 1571279207.644, 433607141733926.6, -86766794436847.3, -499
Walking, 1571280142.461, 433607655768045.3, -86766794436847.3, -499
Walking, 1571280148.494, 433608340968045.3, -86766794436847.3, -499
Walking, 1571280163.01, 433609878001291.2, -86766794436847.3, -499
Walking, 1571280164.1420002, 433617124234537.0, -86766794436847.3, -499
Walking, 1571280173.002, 433625872504831.25, -86766794436847.3, -499
Walking, 1571280476.365, 433624938107579.7, -86765947868122.28, -499
Inactive, 1571280488.4520001, 433628837598775.3, -86765947868122.28, -498
Inactive, 1571280489.052, 433628991038146.7, -86777792934493.84, -498
Inactive, 1571280508.4689999, 433634905240981.75, -86777792934493.84, -498
Inactive, 1571280509.006, 433639846178102.94, -86777701655332.06, -498
Inactive, 1571280561.0129998, 433642610862393.7, -86780035455522.16, -498
Inactive, 1571280581.3279998, 433641209849464.8, -86772847046284.28, -498
Inactive, 1571280601.335, 433643186217669.06, -86776331586858.7, -498
Inactive, 1571280621.4020002, 433646398217669.06, -86776331586858.7, -498
Inactive, 1571280642.6420002, 433654353217669.1, -86776331586858.7, -498
Inactive, 1571280653.482, 433659096217669.1, -86776331586858.7, -498
Inactive, 1571281201.7089999, 433658337924755.6, -86775775335309.9, -498
Walking, 1571282152.061, 433662403267452.75, -86775775335309.9, -496
Walking, 1571282482.476, 433661435180203.75, -86776730807290.4, -496
Walking, 1571545791.91, 433635451033718.6, -86774080612720.39, -492
Walking, 1571545793.004, 433664113333718.6, -86774080612720.39, -492
Walking, 1571545804.006, 433663272589560.1, -86774198907770.73, -492
Walking, 1571545822.0070002, 433663786048821.1, -86773873236237.36, -492
Walking, 1571545839.957, 433666168446193.94, -86723083322077.92, -492
Walking, 1571545849.01, 433657589602797.06, -86698266903856.03, -492
Walking, 1571545855.375, 433663921702797.1, -86698266903856.03, -492
Walking, 1571545866.536, 433792898859329.5, -86624053688035.14, -492
Walking, 1571545868.0070002, 433932559094413.44, -86516349833652.31, -492
Walking, 1571545878.002, 433933109194413.4, -86516349833652.31, -492
Walking, 1571545888.008, 433932819768559.25, -86516945415507.34, -492
Walking, 1571545898.0029998, 433931924760761.3, -86516819008712.61, -492
Walking, 1571545908.008, 433931349491017.7, -86516973543890.67, -492
Walking, 1571545913.5579998, 433893350857411.9, -86513456428719.62, -492
Walking, 1571545920.002, 433931462455861.8, -86527365778708.1, -492
Walking, 1571545930.008, 433931415767653.25, -86525841520720.72, -492
Walking, 1571545930.286, 433946091001956.44, -86355392407601.28, -492
Walking, 1571545940.002, 433904278380581.25, -86523158543258.98, -492
Walking, 1571545942.7470002, 433939813948060.5, -86511576673739.12, -492
Walking, 1571545953.0010002, 433944539130666.2, -86575973864250.84, -492
Walking, 1571545957.3070002, 433791493629344.56, -86479378420800.34, -492
Walking, 1571545967.004, 433638242577089.44, -86382194668169.7, -492
Walking, 1571545977.0089998, 433637538170408.5, -86381825248238.97, -492
Walking, 1571545989.002, 433638495170408.56, -86381825248238.97, -492
Walking, 1571545999.0070002, 433639533770408.5, -86381825248238.97, -492
Walking, 1571546010.006, 433640143392990.94, -86381887676606.98, -492
Walking, 1571546020.0089998, 433641136752138.0, -86381915437698.9, -492
Walking, 1571546030.005, 433641119743759.9, -86381811449732.62, -492
Walking, 1571546046.394, 433645370972342.4, -86280969136040.06, -492
Walking, 1571546052.0029998, 433506972095611.7, -86160202387515.3, -492
